function,description,comment,example
"board_at_position","Returns the board at a given position as a struct.","",""
"clocks_to_move_times","Transform clocks (of one player) into move times, given the clock times and increment.","",""
"eval_to_centipawns","Returns eval if it is a centipawn evaluation, NULL if mate.","",""
"eval_to_mate","Returns moves to mate if eval is mate, NULL if centipawn evaluation.","",""
"fen_at_position","Returns the FEN at a given position.","",""
"matches_subfen","Returns true if any position matches a given sub-FEN.","",""
"move_details","Returns a list of details for all moves in the game.","",""
"move_details_at","Returns the details of a given move in the game.","",""
"moved_pieces","Returns the moved pieces in order as a string.","",""
"moved_pieces_list","Returns the moved pieces in order as a list.","",""
"piece_counts_at_position","Returns the piece counts at a given position.","",""
"pieces_at_position","Returns the squares where the pieces are at a given position.","",""
"recompress","Recompresses a game at a given compression level.","",""
"scoutfish_query","Returns true if a game matches a Scoutfish query.","",""
"scoutfish_query_plies","Returns the list of plies matching a Scoutfish query.","",""
"time_control_lichess","Returns the Lichess time control name for given initial time and increment.","",""
"to_pgn","Represents the game as a PGN string.","",""
"to_uci","Represents the game as a UCI string.","",""
"winning_chances_lichess","Converts an evaluation to winning chances using the Lichess formula.","",""
"list_eval_to_centipawns","Apply eval_to_centipawns to all items in a list.","",""
"list_eval_to_mate","Apply eval_to_mate to all items in a list.","",""
"list_winning_chances_lichess","Apply winning_chances_lichess to all items in a list.","",""
