function,description,comment,example
"expect_not_null","Fails if any NULL in column","","select * from expect_not_null('sales','amount')"
"expect_unique","Fails if duplicate values in column","","select * from expect_unique('sales','order_id')"
"expect_in_range","Fails on NULL / below lo / above hi","","select * from expect_in_range('sales','amount',0,100)"
"expect_row_count_between","Fails if row count outside [lo, hi]","","select * from expect_row_count_between('sales',1,1000000)"
"expect_accepted_values","Fails on NULL / values outside allowed set","","select * from expect_accepted_values('customers','status','active,inactive,suspended')"
"expect_match_regex","Fails on NULL / values not matching regex","","select * from expect_match_regex('customers','email','^[^@]+@[^@]+\.com$')"
"expect_relationship","Fails on orphan values (broken FK)","","select * from expect_relationship('orders','customer_id','customers','id')"
"expect_custom_sql","Fails on rows returned by custom WHERE (supports {table})","","select * from expect_custom_sql('orders','amount < 0')"
"expect_min_between","Fails if MIN(column) outside [lo, hi]","","select * from expect_min_between('sales','amount',0,100)"
"expect_max_between","Fails if MAX(column) outside [lo, hi]","","select * from expect_max_between('sales','amount',0,1000)"
"expect_mean_between","Fails if AVG(column) outside [lo, hi]","","select * from expect_mean_between('sales','amount',0,500)"
"expect_stddev_between","Fails if STDDEV(column) outside [lo, hi]","","select * from expect_stddev_between('sales','amount',0,100)"
"expect_sum_between","Fails if SUM(column) outside [lo, hi]","","select * from expect_sum_between('sales','amount',0,10000000)"
"expect_distinct_count_between","Fails if COUNT(DISTINCT column) outside [lo, hi]","","select * from expect_distinct_count_between('sales','order_id',1,100000)"
"expect_column_type","Fails if column's logical type != expected","","select * from expect_column_type('sales','amount','DOUBLE')"
"expect_table_column_count_between","Fails if table column count outside [lo, hi]","","select * from expect_table_column_count_between('sales',1,100)"
"expect_null_proportion_between","Fails if NULL ratio outside [lo, hi]","","select * from expect_null_proportion_between('sales','email',0,0.5)"
"expect_unique_proportion_between","Fails if distinct ratio outside [lo, hi]","","select * from expect_unique_proportion_between('sales','order_id',0.5,1)"
"expect_quantile_between","Fails if quantile_cont(col, q) outside [lo, hi]","","select * from expect_quantile_between('sales','amount',0.5,0,500)"
"expect_columns_unique_together","Fails if (col1, col2) tuple has duplicates","","select * from expect_columns_unique_together('sales','order_id','amount')"
"expect_column_length_between","Fails if any non-null value length outside [lo, hi]","","select * from expect_column_length_between('customers','email',3,255)"
"expect_null_count_between","Fails if NULL row count outside [lo, hi]","","select * from expect_null_count_between('sales','email',0,100)"
"expect_row_count_to_equal","Fails if table row count != n","","select * from expect_row_count_to_equal('sales',3)"
"expect_not_in_set","Fails on values in forbidden set","","select * from expect_not_in_set('customers','status','deleted,blocked')"
"expect_not_match_regex","Fails on values matching forbidden regex","","select * from expect_not_match_regex('customers','email','test@')"
"expect_match_date_format","Fails on values not parsing per strptime format","","select * from expect_match_date_format('orders','created_at','%Y-%m-%d')"
"expect_sorted","Fails on adjacent inversions (physical order)","","select * from expect_sorted('sales','order_id','asc')"
"expect_median_between","Fails if median outside [lo, hi]","","select * from expect_median_between('sales','amount',0,500)"
"profile_table","Per-column profiling (count, null %, distinct, min, max)","","select * from profile_table('sales')"
"validate_expectations","Batch assertions from a JSON rule set","","select * from validate_expectations('sales','{\"expect_table_row_count_between\": {\"min\": 1, \"max\": 100}}')"
"dq_run","Run rule set, persist one report row, return summary","","select dq_run('daily_sales','sales','{\"expect_table_row_count_between\": {\"min\": 1, \"max\": 100}}')"
"dq_reports","Persisted run history (name, table, summary, passed, run_at)","","select * from dq_reports()"
"dq_dashboard","dash-compatible dashboard JSON + checks/passed/failed/pass_rate","","select * from dq_dashboard('sales','{\"expect_table_row_count_between\": {\"min\": 1, \"max\": 100}}')"
"dq_federated","Cross-DB quality baseline via duckdb_universal (per-source results)","","select * from dq_federated('[{\"path\": \"a.duckdb\"}]','sales','{\"expect_table_row_count_between\": {\"min\": 1, \"max\": 100}}')"
"dq_suggest","Profile-driven candidate rules (rule, column, severity, reason, params)","","select * from dq_suggest('sales')"
