function,description,comment,example
COPY TO,"Exports the data table to a new raster file. Use the COPY command with FORMAT RASTER.","","COPY ( SELECT geometry, databand_1, databand_2, databand_3 FROM RT_Read('path/to/raster/file.tif') ) TO 'path/to/raster/newfile.tif' WITH (FORMAT RASTER, DRIVER 'COG', CREATION_OPTIONS ('COMPRESS=LZW'), SRS 'EPSG:25830');"
RT_Array2Cube,"Packages a plain SQL array of numeric values back into a datacube BLOB, the inverse of RT_Cube2Array.","","SELECT RT_Array2Cube(r.values, 'RAW', r.bands, r.cols, r.rows, r.no_data) FROM ...;"
RT_CoordValue,"Returns the value in a specified band of a datacube at the specified world coordinates (x, y).","","SELECT RT_CoordValue(databand_1, 0, 545600.0, 4724500.0, metadata, -9999.0) AS value FROM RT_Read('path/to/raster/file.tif');"
RT_CoordValue_Agg,"Returns the value in a set of datacubes at the specified world coordinates (x, y).","","SELECT RT_CoordValue_Agg(databand_1, 0, 545600.0, 4724500.0, tile_x, tile_y, metadata, -9999.0) FROM RT_Read('path/to/raster/file.tif');"
RT_CoordValues,"Returns the values in a band of a datacube at the specified array of world coordinates (x, y).","","SELECT RT_CoordValues(databand_1, 0, [545600.0, 545601.0], [4724500.0, 4724501.0], metadata, -9999.0) FROM RT_Read('path/to/raster/file.tif');"
RT_Cube2Array,"Extracts the pixel values of a datacube column into a plain SQL array of a chosen numeric type. Optionally filters out nodata values. A different function variant is provided for each numeric data type (e.g. RT_Cube2ArrayInt32, RT_Cube2ArrayFloat, etc.).","","SELECT RT_Cube2ArrayInt32(databand_1, true) AS r FROM RT_Read('path/to/raster/file.tif');"
RT_Cube2Type,"Changes the pixel data type of a datacube, returning a new datacube of the same dimensions. A different function variant is provided for each numeric data type (e.g. RT_Cube2TypeUInt8, RT_Cube2TypeFloat, etc.).","","SELECT RT_Cube2TypeUInt8((databand_1 * 1000.0) / 1000.0) FROM ..."
RT_CubeAbs,"Returns a datacube with the absolute value of each cell. Nodata cells are preserved.","","SELECT RT_CubeAbs(databand_1) FROM ...;"
RT_CubeAdd,"Returns a datacube with each cell equal to the sum of the two inputs. Inputs can be two datacubes or a datacube and a scalar. Nodata cells are preserved.","","SELECT RT_CubeAdd(databand_1, 10) FROM ...;"
RT_CubeBurn,"Returns a datacube where cells inside the given geometry are replaced by the specified value. No-data cells are preserved.","","SELECT RT_CubeBurn(databand_1, tile_x, tile_y, metadata, ST_GeomFromText('POLYGON((...))'), 1.0) FROM ...;"
RT_CubeClip,"Returns a datacube where cells outside the given geometry are replaced by the specified value. No-data cells are preserved.","","SELECT RT_CubeClip(databand_1, tile_x, tile_y, metadata, ST_GeomFromText('POLYGON((...))'), 0.0) FROM ...;"
RT_CubeDivide,"Returns a datacube with each cell equal to the left-hand cell divided by the right-hand cell. Inputs can be two datacubes or a datacube and a scalar. Nodata cells are preserved.","","SELECT RT_CubeDivide(databand_1, 10) FROM ...;"
RT_CubeEqual,"Returns a datacube where each cell is 1 if left == right, 0 otherwise. Inputs can be two datacubes or a datacube and a scalar. Nodata cells are preserved.","","SELECT RT_CubeEqual(databand_1, 10) FROM ...;"
RT_CubeExp,"Returns a datacube with the exponential (e^x) of each cell. Nodata cells are preserved.","","SELECT RT_CubeExp(databand_1) FROM ...;"
RT_CubeFill,"Returns a datacube where all cells (including nodata) are unconditionally replaced by the right-hand value.","","SELECT RT_CubeFill(databand_1, 0) FROM ...;"
RT_CubeGreater,"Returns a datacube where each cell is 1 if left > right, 0 otherwise. Inputs can be two datacubes or a datacube and a scalar. Nodata cells are preserved.","","SELECT RT_CubeGreater(databand_1, 10) FROM ...;"
RT_CubeGreaterEqual,"Returns a datacube where each cell is 1 if left >= right, 0 otherwise. Inputs can be two datacubes or a datacube and a scalar. Nodata cells are preserved.","","SELECT RT_CubeGreaterEqual(databand_1, 10) FROM ...;"
RT_CubeLess,"Returns a datacube where each cell is 1 if left < right, 0 otherwise. Inputs can be two datacubes or a datacube and a scalar. Nodata cells are preserved.","","SELECT RT_CubeLess(databand_1, 10) FROM ...;"
RT_CubeLessEqual,"Returns a datacube where each cell is 1 if left <= right, 0 otherwise. Inputs can be two datacubes or a datacube and a scalar. Nodata cells are preserved.","","SELECT RT_CubeLessEqual(databand_1, 10) FROM ...;"
RT_CubeLog,"Returns a datacube with the natural logarithm of each cell. Nodata cells are preserved.","","SELECT RT_CubeLog(databand_1) FROM ...;"
RT_CubeMax,"Returns a datacube with each cell equal to the maximum of the two inputs. Inputs can be two datacubes or a datacube and a scalar. Nodata cells are preserved.","","SELECT RT_CubeMax(databand_1, databand_2) FROM ...;"
RT_CubeMin,"Returns a datacube with each cell equal to the minimum of the two inputs. Inputs can be two datacubes or a datacube and a scalar. Nodata cells are preserved.","","SELECT RT_CubeMin(databand_1, databand_2) FROM ...;"
RT_CubeMod,"Returns a datacube with each cell equal to the remainder of dividing the left-hand cell by the right-hand value. Inputs can be two datacubes or a datacube and a scalar. Nodata cells are preserved.","","SELECT RT_CubeMod(databand_1, 3) FROM ...;"
RT_CubeMultiply,"Returns a datacube with each cell equal to the product of the two inputs. Inputs can be two datacubes or a datacube and a scalar. Nodata cells are preserved.","","SELECT RT_CubeMultiply(databand_1, 10) FROM ...;"
RT_CubeNeg,"Returns a datacube with each cell negated (multiplied by -1). Nodata cells are preserved.","","SELECT RT_CubeNeg(databand_1) FROM ...;"
RT_CubeNotEqual,"Returns a datacube where each cell is 1 if left != right, 0 otherwise. Inputs can be two datacubes or a datacube and a scalar. Nodata cells are preserved.","","SELECT RT_CubeNotEqual(databand_1, 10) FROM ...;"
RT_CubeNullOrEmpty,"Returns true if the datacube is NULL or contains only nodata cells, false otherwise.","","SELECT RT_CubeNullOrEmpty(databand_1) FROM ...;"
RT_CubePow,"Returns a datacube with each cell raised to the power of the right-hand value. Inputs can be two datacubes or a datacube and a scalar. Nodata cells are preserved.","","SELECT RT_CubePow(databand_1, 2) FROM ...;"
RT_CubeSet,"Returns a datacube where valid cells are replaced by the right-hand value. Nodata cells in the source are preserved.","","SELECT RT_CubeSet(databand_1, 0) FROM ...;"
RT_CubeSetNoData,"Returns a datacube where nodata cells are replaced by the specified value, and sets this value as the new nodata sentinel.","","SELECT RT_CubeSetNoData(databand_1, -9999) FROM ..."
RT_CubeSqrt,"Returns a datacube with the square root of each cell. Nodata cells are preserved.","","SELECT RT_CubeSqrt(databand_1) FROM ...;"
RT_CubeStats,"Calculates statistics for a specific band (0-based index) of a datacube. Returns a STRUCT with minimum, maximum, sum, mean, stddev, valid_count and nodata_count fields.","","SELECT RT_CubeStats(databand_1, 0) AS stats FROM RT_Read('path/to/raster/file.tif');"
RT_CubeStats_Agg,"Calculates statistics for a specific band (0-based index) in a set of datacubes. Returns a STRUCT with minimum, maximum, sum, mean, stddev, valid_count and nodata_count fields.","","SELECT RT_CubeStats_Agg(databand_1, 0) AS stats FROM RT_Read('path/to/raster/file.tif');"
RT_CubeSubtract,"Returns a datacube with each cell equal to the left-hand cell minus the right-hand cell. Inputs can be two datacubes or a datacube and a scalar. Nodata cells are preserved.","","SELECT RT_CubeSubtract(databand_1, 10) FROM ...;"
RT_Drivers,"Returns the list of supported GDAL raster drivers and file formats.","","SELECT * FROM RT_Drivers();"
RT_Envelope,"Computes the bounding box of the valid (non-no-data) cells in the input datacube for a specific band and returns it as a geometry.","","SELECT RT_Envelope(databand_1, 0, tile_x, tile_y, metadata) AS geometry FROM RT_Read('path/to/raster/file.tif');"
RT_GdalConfig,"Sets a GDAL configuration option (equivalent to CPLSetConfigOption). Pass NULL as the value to unset the option.","","SELECT RT_GdalConfig('AWS_NO_SIGN_REQUEST', 'YES');"
RT_Polygon,"Creates a polygon geometry for each contiguous region of non-no-data values for a specific band in the datacube.","","SELECT RT_Polygon(databand_1, 0, tile_x, tile_y, metadata) AS geometry FROM RT_Read('path/to/raster/file.tif');"
RT_RasterValue,"Returns the value in a specified band of a datacube at the specified pixel coordinates (column, row).","","SELECT RT_RasterValue(databand_1, 0, 10, 20, -9999.0) FROM RT_Read('path/to/raster/file.tif');"
RT_RasterValue_Agg,"Returns the value in a set of datacubes at the specified pixel coordinates (column, row).","","SELECT RT_RasterValue_Agg(databand_1, 0, 0, 20, tile_x, tile_y, metadata, -9999.0) FROM RT_Read('path/to/raster/file.tif');"
RT_RasterValues,"Returns the values in a band of a datacube at the specified array of pixel coordinates (column, row).","","SELECT RT_RasterValues(databand_1, 0, [10, 11], [20, 21], -9999.0) FROM RT_Read('path/to/raster/file.tif');"
RT_Read,"Opens a raster file (or a mosaic of raster files) and returns a table with the raster data. Supports filter pushdown on all non-BLOB columns.","","SELECT * FROM RT_Read('path/to/raster/file.tif');"
RT_ReadCells,"Reads a raster file (or a mosaic of raster files) and returns a table with one row per value cell in the raster.","","SELECT id, x, y, geometry, col, row, band_1, band_2, band_3 FROM RT_ReadCells('path/to/raster/file.tif');"
